distance_km,weight_kg,volume_l,urgency,hour,day_of_week,demand_score,price
19.62,23.1,11.6,normal,19,4,0.6,212.25
13.08,24.5,12.8,same_day,9,6,1.03,478.52
16.75,17.7,70.1,same_day,8,3,1.36,809.83
37.52,5.1,12.4,express,3,2,1.34,931.58
3.57,14.2,24.8,express,13,0,0.99,176.49
19.19,8.7,73.8,same_day,17,2,1.49,879.51
5.01,13.3,58.8,express,21,0,1.35,304.56
5.4,14.4,21.8,express,1,1,1.42,304.83
44.61,11.1,62.5,normal,3,0,1.04,672.43
4.38,6.2,44.4,normal,9,5,1.25,173.45
8.56,19.8,62.2,express,14,5,0.64,198.92
23.69,10.0,52.7,express,22,5,0.54,299.3
42.74,13.4,64.1,normal,10,0,0.61,376.97
29.37,3.8,3.7,express,11,5,0.53,317.64
40.86,0.9,9.0,normal,16,2,0.94,524.67
1.58,17.3,11.6,normal,17,4,0.69,80
21.45,5.0,7.3,normal,20,1,1.44,450.53
9.11,3.8,49.0,normal,17,4,0.9,175.71
44.14,6.1,48.5,same_day,8,3,0.69,755.88
33.19,18.2,79.1,express,9,4,0.95,699.28
41.83,6.4,29.6,same_day,3,4,1.17,1225.34
5.44,17.2,53.2,express,22,1,1.16,274.41
21.69,17.7,40.6,normal,7,5,0.77,291.91
1.14,19.2,30.4,same_day,14,2,1.26,257.6
5.16,15.6,66.9,express,5,0,0.75,188.07
29.15,1.2,27.6,express,22,5,1.44,851.28
39.79,21.1,12.3,same_day,3,2,1.08,1072.43
4.68,2.3,41.2,same_day,9,4,1.05,246.34
19.7,18.2,75.6,normal,22,4,0.61,215.08
26.58,15.0,71.8,same_day,16,0,0.53,409.01
43.96,2.4,13.5,normal,0,0,1.15,677.96
1.93,16.0,33.9,express,2,2,1.07,182.19
35.06,23.4,36.1,express,8,2,0.78,598.57
17.94,3.7,26.2,same_day,13,6,0.84,433.93
22.67,12.0,8.3,same_day,17,1,1.27,830.57
13.12,13.8,44.5,express,5,0,1.05,381.63
7.81,23.5,25.6,normal,17,2,0.72,152.07
26.94,3.4,73.5,normal,23,3,1.42,566.34
39.9,8.8,78.1,normal,10,0,1.31,786.03
20.3,4.9,27.7,same_day,23,3,0.9,515.9
2.07,7.8,5.1,express,9,4,0.94,128.39
20.39,4.5,50.9,express,14,2,0.97,431.56
43.04,9.8,12.5,normal,15,3,0.83,486.82
2.76,12.5,2.5,normal,17,4,1.07,122.05
34.96,16.4,58.2,express,15,1,0.9,702.82
3.52,15.0,12.2,same_day,17,2,0.64,152.6
20.72,1.8,19.6,same_day,20,5,1.0,574.12
15.44,22.3,79.2,express,21,3,1.06,465.72
30.8,5.8,62.7,express,22,0,1.06,675.38
18.79,18.7,55.2,same_day,18,2,0.8,474.44
2.36,5.5,38.9,express,11,3,1.18,180.46
24.5,1.3,15.9,same_day,18,2,1.32,851.7
38.46,10.3,59.0,normal,1,4,1.15,668.71
41.78,0.8,22.6,same_day,0,3,0.77,754.32
29.93,11.8,35.6,normal,0,2,0.91,417.95
30.58,5.9,68.1,same_day,12,3,0.75,614.17
39.18,5.4,54.5,same_day,15,0,0.96,959.43
20.07,21.9,3.9,same_day,10,0,0.82,509.41
13.84,11.3,31.5,same_day,21,5,0.86,402.26
5.7,2.2,71.3,same_day,23,6,0.68,196.26
38.38,6.7,72.0,same_day,17,4,0.76,752.75
12.62,11.4,49.1,express,22,1,1.07,368.74
29.66,16.4,28.6,express,6,1,1.17,778.78
39.63,15.9,72.6,same_day,12,4,0.89,986.66
33.78,7.2,17.7,normal,20,3,0.72,355.66
43.47,10.8,73.0,same_day,7,2,0.55,599.1
12.57,10.4,60.9,normal,23,2,0.91,240.2
16.49,4.9,68.4,express,21,3,0.57,225.5
24.84,10.7,17.3,normal,1,3,1.48,583.09
40.69,20.8,70.2,same_day,16,6,0.9,966.27
7.45,17.4,49.5,express,3,0,0.94,257.77
15.26,21.3,69.8,express,0,3,0.76,329.02
5.56,4.5,41.1,normal,0,5,1.02,152.22
2.72,21.1,14.8,same_day,19,4,0.55,125.41
42.8,9.8,1.3,express,13,4,0.87,714.71
3.38,7.9,40.7,normal,4,0,0.74,97.42
27.02,4.9,12.3,same_day,19,2,1.34,932.21
16.77,10.9,11.4,normal,1,0,1.28,372.76
33.01,17.1,5.3,express,20,5,1.03,708.14
31.25,2.0,62.2,normal,15,3,0.61,272.86
8.56,18.4,78.8,normal,15,4,0.74,172.22
21.23,9.7,52.4,same_day,6,5,0.6,389.44
15.65,1.3,13.9,normal,10,4,1.47,360.1
19.84,12.8,76.5,normal,20,3,0.99,334.64
19.83,9.6,62.0,normal,3,4,0.82,275.93
23.95,1.0,62.9,express,13,0,1.01,524.02
8.98,22.1,12.5,express,1,6,0.72,212.31
29.81,10.8,4.3,normal,19,4,1.49,611.08
17.01,13.9,18.1,express,19,6,1.09,458.83
44.39,23.4,63.8,express,0,6,1.2,1134.79
5.8,0.9,25.3,express,19,5,1.13,219.26
27.18,23.0,50.9,express,17,4,0.76,493.1
26.58,9.4,66.1,normal,12,1,1.08,472.3
15.15,1.2,10.7,express,1,4,0.82,280.83
26.78,16.0,50.0,normal,21,3,0.95,399.04
43.13,23.1,70.7,normal,21,6,0.62,408.46
30.16,7.5,27.5,normal,4,6,1.15,488.75
2.24,22.5,15.4,express,17,4,0.93,172.74
27.54,22.7,16.3,same_day,3,0,0.73,560.58
6.2,12.4,33.3,express,11,4,0.74,171.32
40.73,4.4,41.5,same_day,19,4,0.84,864.68
21.05,0.7,28.3,same_day,7,1,0.58,344.91
42.64,10.8,75.8,express,3,2,0.67,600.28
40.07,3.1,8.8,express,4,4,1.04,796.03
41.19,1.6,53.7,normal,21,6,1.06,593.52
22.68,3.4,22.4,same_day,16,4,1.31,796.67
14.73,15.5,48.6,normal,22,2,0.67,183.09
30.37,18.8,41.0,express,19,1,1.09,730.94
3.94,3.7,64.2,express,11,6,1.13,213.21
18.18,22.6,40.7,express,23,6,0.64,312.09
5.75,10.1,31.4,normal,7,3,1.35,211.55
33.21,23.1,40.5,normal,0,1,1.05,562.41
22.7,23.8,45.2,express,3,1,1.38,750.8
35.33,1.5,14.1,normal,3,3,1.4,707.75
3.84,19.9,16.0,same_day,17,6,0.63,163.03
29.29,12.0,57.2,same_day,1,5,0.68,572.67
6.63,10.6,69.6,normal,6,2,1.1,195.82
5.7,6.1,53.5,same_day,17,4,0.83,239.4
8.14,10.5,30.8,same_day,23,1,0.73,233.01
15.98,10.8,13.4,normal,7,5,1.33,346.56
19.92,18.8,61.1,normal,15,0,1.44,537.07
10.72,15.8,12.5,same_day,12,5,1.37,516.16
39.91,2.4,12.7,normal,9,2,0.83,449.05
20.79,2.8,68.4,express,17,6,0.75,352.17
34.28,14.8,10.9,express,9,1,0.6,403.21
27.72,8.8,14.4,express,8,5,1.04,606.34
1.57,7.1,51.7,same_day,22,0,0.93,178.32
35.91,22.6,43.5,normal,20,5,1.45,799.29
13.2,15.2,63.5,same_day,20,2,1.15,586.21
13.46,2.2,10.2,same_day,6,5,1.24,509.44
36.56,14.3,29.2,same_day,23,5,0.51,483.87
25.03,1.8,23.9,normal,16,4,0.93,349.83
31.96,8.4,19.5,express,7,3,1.42,880.5
15.17,1.3,68.9,same_day,1,0,0.79,363.7
9.99,14.5,29.6,express,19,2,0.93,269.33
38.86,24.0,72.2,same_day,3,2,0.76,855.25
9.53,24.0,50.6,express,7,1,1.15,385.84
31.98,3.5,33.3,same_day,16,1,0.83,716.61
43.08,13.0,66.1,same_day,9,2,0.52,588.83
44.95,3.2,2.2,express,5,6,0.6,486.9
8.36,4.7,44.0,express,23,4,0.83,218.21
18.51,24.3,13.4,express,0,4,1.36,594.59
15.99,7.6,51.8,normal,19,0,1.23,338.66
40.08,23.3,26.9,normal,4,4,1.42,851.88
18.91,7.8,72.6,normal,8,3,0.86,272.09
37.82,5.8,40.5,express,14,0,0.99,708.2
33.13,14.8,15.6,express,6,6,1.08,767.85
31.23,13.5,39.9,same_day,19,1,1.37,1173.32
43.74,17.8,61.8,normal,21,1,1.14,704.06
8.85,16.8,61.1,express,9,5,0.79,244.8
29.73,18.0,43.2,express,6,0,1.33,861.47
17.02,4.5,55.2,normal,14,1,0.54,157.57
43.8,3.7,45.9,normal,9,6,1.22,753.95
13.35,0.6,74.1,normal,5,1,1.48,364.2
36.13,13.4,40.6,same_day,21,2,1.44,1329.93
4.53,5.3,25.6,normal,22,3,1.36,178.17
39.06,19.3,43.8,same_day,9,3,1.35,1344.63
42.73,2.5,48.0,same_day,13,4,1.12,1160.48
5.73,23.4,79.0,normal,11,1,0.57,120.52
7.94,24.6,60.8,same_day,21,1,1.47,573.22
1.3,18.0,29.3,normal,6,3,1.18,130.7
28.46,3.0,29.5,express,15,1,0.59,342.96
30.68,6.2,34.2,normal,19,3,1.47,687.13
11.57,1.0,78.4,same_day,16,2,1.45,618.27
38.22,14.2,52.3,express,12,4,0.76,614.66
44.1,3.3,46.7,same_day,21,4,0.96,1032.79
21.65,20.1,76.8,normal,9,1,0.76,297.2
32.06,22.7,41.2,normal,21,1,0.88,428.76
22.57,19.6,18.0,same_day,15,2,0.89,583.81
27.91,3.5,9.8,same_day,19,1,1.14,807.26
23.04,21.4,6.4,express,6,5,0.83,430.57
14.13,10.5,21.9,normal,6,0,1.34,336.14
38.78,12.0,55.3,normal,6,3,1.2,714.14
11.27,18.6,4.7,same_day,17,5,0.96,383.23
32.03,16.5,75.4,same_day,0,2,0.72,672.7
37.68,11.9,71.9,same_day,2,1,1.42,1387.07
9.44,3.7,77.2,normal,15,6,1.02,209.71
41.7,19.3,37.0,same_day,7,3,1.47,1659.86
26.73,6.9,17.0,same_day,17,3,0.62,443.96
21.9,10.0,54.6,same_day,0,0,0.91,609.8
31.2,13.9,28.8,express,4,3,0.91,588.11
44.22,7.7,57.9,normal,18,2,1.04,650.07
9.93,11.5,11.5,express,11,3,1.27,350.97
12.13,3.7,8.9,same_day,15,1,0.6,215.73
44.83,23.0,29.1,normal,20,2,0.58,375.47
37.62,6.4,64.5,normal,18,2,0.96,499.71
25.95,7.9,13.4,normal,18,4,0.91,356.72
40.86,13.9,22.1,same_day,20,1,0.83,896.78
32.53,9.3,62.0,express,9,3,1.18,795.55
12.37,11.8,44.1,normal,11,1,0.99,233.86
28.4,10.9,9.6,express,17,4,1.38,815.15
33.49,23.8,53.5,express,22,5,0.85,620.88
41.76,24.0,22.7,same_day,10,2,1.22,1367.4
6.74,10.5,43.5,same_day,2,3,1.31,407.31
41.51,15.0,74.0,normal,5,5,0.58,368.33
30.6,2.0,64.3,express,10,2,1.19,777.12
9.85,10.2,20.0,same_day,18,1,0.96,342.4
28.29,19.7,62.0,express,23,6,0.93,609.87
7.72,19.4,22.3,normal,12,1,1.45,274.75
5.23,7.4,4.4,express,12,0,1.42,259.79
36.48,9.2,6.6,same_day,15,6,1.1,983.04
43.04,10.2,56.2,normal,7,6,1.31,768.76
34.04,17.5,31.8,same_day,12,3,1.25,1142.8
42.1,5.1,39.6,express,5,6,0.83,647.77
15.71,20.4,7.6,express,22,3,1.47,610.87
9.5,18.5,14.5,express,6,5,0.51,155.8
20.33,11.1,11.1,normal,0,0,0.98,327.31
14.41,20.3,21.8,normal,1,4,1.07,303.33
4.97,20.0,61.2,same_day,9,6,0.77,262.28
29.48,5.6,33.1,express,14,5,0.74,427.68
31.63,8.8,73.7,express,13,3,1.13,763.97
16.99,18.4,25.2,normal,13,5,0.53,159.73
9.02,6.7,9.3,same_day,20,2,1.04,324.04
30.96,1.5,32.0,same_day,17,5,1.4,1073.34
40.91,4.2,28.2,normal,8,6,0.68,393.61
13.75,22.1,27.6,express,6,6,0.8,317.23
43.35,3.4,50.2,same_day,9,1,0.56,630.98
36.95,20.8,8.3,normal,11,3,0.93,488.55
20.17,24.4,30.9,express,9,0,0.59,282.7
40.37,17.8,15.0,normal,3,3,1.38,814.01
43.45,4.8,54.2,express,23,3,1.29,1141.79
39.89,17.0,52.5,normal,0,1,0.89,519.61
6.97,6.2,58.6,normal,10,6,0.74,125.88
32.72,16.3,41.8,express,22,4,1.25,878.36
8.17,24.4,34.5,normal,12,0,1.32,282.52
20.11,21.3,8.3,normal,21,3,1.34,470.73
28.68,2.2,58.2,express,11,5,1.35,791.28
27.72,8.1,6.3,express,17,5,1.01,567.24
30.99,10.3,17.7,express,0,3,1.5,985.01
1.66,9.9,3.0,same_day,10,3,1.48,234.77
10.34,13.0,27.0,express,14,1,1.48,463.51
33.06,6.4,5.4,express,18,6,0.74,496.49
41.44,14.9,32.7,same_day,21,5,0.6,671.39
35.47,7.2,52.3,normal,19,4,0.84,440.64
41.41,2.3,23.3,normal,15,5,0.86,499.11
26.33,24.7,50.8,normal,22,6,1.48,631.39
29.73,3.5,37.5,normal,17,5,1.1,457.73
32.63,24.6,22.5,normal,11,5,1.41,694.76
15.46,22.6,6.6,same_day,17,1,1.49,773.58
20.76,3.4,67.8,express,7,5,0.54,267.34
28.35,18.2,31.8,normal,14,3,0.66,280.5
21.38,14.3,26.8,same_day,4,0,1.42,908.53
34.07,21.1,71.2,express,13,3,1.19,919.33
14.08,14.4,66.1,express,5,4,1.3,497.98
22.66,4.4,71.2,normal,20,6,1.2,438.23
25.1,17.3,72.2,express,19,1,1.15,695.27
36.13,19.2,33.6,same_day,18,3,0.98,991.25
42.42,3.1,33.9,same_day,1,0,0.98,1020.09
20.91,19.4,68.4,same_day,7,2,1.2,779.3
41.03,10.2,6.2,express,18,1,1.32,1076.55
29.79,24.1,68.6,same_day,13,4,0.56,495.71
43.34,23.7,13.2,normal,2,0,1.45,948.47
36.39,4.0,42.9,express,14,2,1.03,711.48
32.95,10.7,41.7,express,17,4,0.57,397.36
2.64,6.2,45.7,same_day,22,5,1.11,232.92
37.66,18.4,64.9,same_day,19,1,0.89,891.56
13.32,18.8,52.7,normal,5,6,1.24,332.36
35.44,19.6,60.9,express,21,6,1.31,1020.96
11.62,6.2,1.1,same_day,20,5,0.65,233.23
20.7,21.4,46.2,same_day,12,1,1.17,775.12
29.96,9.7,72.9,express,1,4,1.48,944.22
44.03,19.4,72.9,same_day,8,6,0.95,1134.75
5.21,22.7,22.9,normal,16,0,0.68,118.1
11.35,9.9,79.9,same_day,15,0,1.45,663.38
21.56,23.1,72.4,normal,19,1,1.01,413.8
9.45,7.8,11.8,normal,13,1,1.42,267.25
2.89,16.8,47.9,same_day,11,1,1.43,379.74
38.46,22.0,17.0,same_day,7,6,0.92,895.1
3.86,1.2,31.0,same_day,14,1,0.57,118.34
18.08,3.0,14.5,normal,8,5,0.72,198.75
17.99,4.9,5.4,normal,16,3,0.76,209.88
26.93,8.0,4.1,normal,2,5,0.85,347.37
22.07,2.4,52.8,same_day,13,2,1.02,631.16
42.32,2.1,8.8,normal,13,2,1.3,772.8
41.2,23.1,22.4,same_day,23,0,1.02,1082.77
7.88,19.8,20.1,same_day,8,5,0.71,258.13
36.76,0.8,75.0,express,9,3,1.01,737.84
36.32,8.2,10.8,normal,4,0,0.95,488.33
1.86,17.8,28.1,normal,12,3,0.59,80
33.09,4.1,79.9,same_day,18,5,0.75,639.0
37.02,3.8,6.4,express,15,3,1.13,784.92
14.87,4.2,39.7,express,7,4,0.88,331.62
19.6,2.3,21.0,express,10,6,0.9,389.42
16.44,4.3,57.9,same_day,4,0,1.43,714.78
1.77,18.9,44.3,same_day,15,3,0.99,230.33
29.8,11.7,54.2,same_day,3,0,0.94,788.48
32.45,7.6,34.4,normal,5,2,0.85,399.89
5.94,12.5,19.4,same_day,10,2,0.65,179.78
29.28,15.0,52.9,express,22,6,0.57,354.29
15.54,17.5,30.2,express,13,2,1.43,595.25
1.79,2.6,13.6,same_day,14,5,1.5,226.89
22.01,10.5,20.4,express,18,4,1.49,686.3
18.17,18.8,28.7,express,1,2,0.95,410.07
2.21,10.6,62.4,express,5,6,1.06,198.92
14.52,4.6,50.0,same_day,4,5,0.71,332.36
30.18,9.7,48.8,express,12,3,0.64,391.09
24.4,23.5,4.0,normal,16,4,0.99,379.21
21.76,4.5,75.7,normal,22,1,0.93,347.72
13.97,13.1,71.0,normal,15,4,0.67,179.43
6.32,10.3,55.9,same_day,22,5,1.47,463.3
7.57,7.2,43.0,express,8,3,1.28,308.55
12.35,16.5,1.9,same_day,17,6,0.99,399.9
40.73,16.2,75.5,express,6,3,0.51,415.43
19.32,4.5,54.9,normal,12,2,0.87,269.13
7.88,7.6,42.9,express,17,5,1.44,363.13
10.82,18.1,62.5,same_day,8,2,0.5,224.56
9.35,21.7,47.9,normal,3,3,0.54,123.36
35.06,21.9,73.0,same_day,3,0,0.95,943.07
26.45,1.2,9.7,normal,18,6,1.1,400.17
26.65,17.9,60.5,normal,23,3,1.08,468.44
9.12,13.6,60.7,normal,20,0,1.4,304.94
21.92,11.9,53.0,same_day,6,3,0.94,637.04
10.62,20.9,44.4,express,4,6,0.71,251.89
13.54,12.4,33.7,same_day,0,2,0.72,342.02
42.73,19.3,58.0,express,8,0,0.58,537.44
44.57,19.2,23.9,same_day,15,2,0.92,1090.49
20.07,15.9,37.5,express,21,0,0.54,245.59
38.31,13.0,52.9,normal,8,6,0.9,519.24
23.79,7.9,67.2,same_day,11,2,0.64,424.79
36.11,14.1,75.4,normal,7,1,0.73,387.34
10.71,10.7,14.1,same_day,9,0,0.9,330.16
11.06,15.0,46.2,normal,22,0,1.24,305.39
28.64,14.6,13.2,express,22,6,0.65,382.09
7.59,1.7,46.9,express,10,3,0.68,163.01
40.96,12.5,34.3,same_day,10,4,0.64,657.89
28.66,2.5,9.0,normal,6,6,0.67,281.04
40.63,10.6,35.8,normal,6,3,0.93,524.83
13.07,23.8,25.7,express,15,1,1.26,464.09
29.12,13.2,63.1,same_day,20,4,1.18,944.78
31.06,22.8,2.9,normal,10,5,0.77,359.49
1.8,21.8,64.5,express,17,3,0.71,140.07
2.11,17.1,2.1,normal,16,4,0.88,92.94
3.79,10.2,56.3,same_day,3,1,1.36,337.72
27.95,1.4,26.0,same_day,9,2,1.28,901.27
3.21,2.9,2.8,normal,10,0,1.06,100.95
24.39,6.3,69.3,normal,14,4,1.35,517.26
4.22,22.8,63.4,same_day,21,3,1.36,421.83
15.48,16.1,65.5,express,21,3,0.74,316.99
9.33,10.8,20.1,normal,5,4,1.14,223.94
40.02,10.9,10.1,express,16,3,0.62,471.86
29.07,12.9,23.8,normal,3,0,0.74,316.27
44.75,12.1,57.4,normal,12,1,1.43,900.03
8.17,17.9,37.7,express,9,4,1.23,359.44
33.62,16.5,52.0,express,5,3,0.88,601.72
29.47,8.2,39.5,express,10,3,0.99,611.34
7.13,21.9,77.1,normal,17,4,1.14,236.31
10.0,7.9,49.2,express,22,6,0.8,238.48
42.55,16.5,49.8,express,9,3,1.25,1042.32
4.74,23.5,40.1,same_day,3,5,1.1,355.09
5.41,12.9,33.6,normal,10,6,1.33,218.86
20.95,14.2,56.7,normal,2,3,1.25,441.91
42.61,6.2,50.6,same_day,23,6,1.07,1118.47
4.82,11.6,48.3,normal,15,2,1.17,183.65
9.51,4.6,49.5,normal,23,5,0.93,187.67
6.76,8.5,22.7,express,21,6,0.84,193.94
24.61,23.5,19.7,normal,10,0,1.04,436.48
7.16,17.0,42.5,express,8,3,0.62,168.92
33.38,6.0,76.5,same_day,0,3,1.01,919.4
10.78,20.0,69.0,normal,9,3,0.67,169.86
21.59,8.2,41.1,normal,21,4,0.6,210.38
7.89,12.6,29.6,normal,19,2,1.29,227.08
1.35,13.4,15.4,express,18,0,1.45,207.28
19.93,12.5,15.5,normal,0,2,1.48,491.66
36.99,12.0,14.6,express,6,2,0.93,664.79
42.5,6.4,34.6,same_day,4,2,1.11,1197.38
40.53,8.2,47.6,express,10,4,0.52,426.2
16.12,22.7,1.7,normal,17,6,1.12,331.64
33.91,6.4,65.0,normal,19,5,1.01,507.44
14.19,9.6,4.2,same_day,23,6,1.06,456.68
1.51,22.8,52.6,express,23,6,1.24,237.51
27.48,13.7,57.8,normal,23,2,0.52,218.07
9.94,11.5,43.1,express,23,6,1.12,343.35
42.27,19.3,73.3,express,16,6,1.37,1169.99
5.61,16.1,7.9,normal,12,6,1.26,189.91
40.4,6.9,17.6,same_day,5,2,1.19,1162.98
17.9,21.2,21.4,same_day,2,2,0.58,332.44
40.64,16.9,27.7,same_day,5,1,1.39,1531.92
27.03,10.9,4.7,express,0,1,0.68,381.57
36.52,11.9,74.5,same_day,18,6,0.64,656.02
25.31,22.7,43.9,normal,23,2,1.28,522.35
5.19,6.0,32.0,normal,23,6,0.9,131.21
16.7,24.4,78.3,same_day,23,4,1.29,786.44
35.83,13.9,1.2,express,18,0,1.19,817.47
3.11,16.1,61.1,same_day,7,2,0.86,228.93
26.46,22.2,73.8,normal,13,0,0.93,436.25
27.73,10.8,6.4,normal,17,4,0.97,379.73
38.42,20.7,24.5,normal,9,0,0.89,482.62
14.51,8.7,7.6,same_day,23,3,1.4,613.59
40.92,4.2,72.2,same_day,22,5,0.76,770.76
14.59,19.5,65.8,same_day,3,6,1.42,760.05
40.27,23.5,63.5,normal,8,2,0.93,554.68
2.02,23.8,49.1,same_day,0,0,0.6,155.41
38.29,4.4,53.6,express,23,2,0.69,526.24
16.64,4.7,24.2,express,1,5,0.52,201.83
7.45,9.2,79.7,same_day,14,4,0.89,324.36
19.34,12.6,39.0,express,13,3,0.77,349.95
2.4,1.7,5.8,express,0,6,1.28,149.82
9.75,13.8,13.5,express,16,0,0.78,215.79
18.65,2.9,15.7,normal,14,2,1.07,319.33
38.11,21.4,50.7,express,13,2,1.17,960.61
28.05,23.5,67.0,same_day,16,3,0.82,688.04
26.79,3.8,11.4,normal,22,3,1.16,441.09
11.91,0.7,18.8,same_day,12,2,0.84,296.13
41.52,8.8,72.4,same_day,17,3,1.0,1101.8
19.82,24.4,54.8,normal,19,1,0.59,224.62
8.93,23.2,4.0,same_day,8,6,0.56,197.22
40.19,3.8,75.4,same_day,14,0,1.32,1342.33
12.66,20.0,41.5,same_day,12,3,1.34,649.1
21.34,13.5,30.4,express,4,5,1.24,621.73
27.62,19.0,71.7,express,7,4,1.28,825.65
38.5,3.1,29.4,express,2,0,1.03,752.18
42.56,14.7,12.4,express,12,2,1.06,897.54
37.16,19.5,17.6,normal,4,6,0.8,442.95
1.4,18.2,68.3,express,5,6,0.99,182.25
21.4,18.4,6.8,normal,17,2,0.65,233.07
31.59,0.9,24.7,same_day,4,1,0.59,470.45
12.75,21.8,73.6,same_day,20,0,1.01,510.65
10.76,2.9,58.0,normal,0,4,0.65,137.1
9.74,4.2,42.1,normal,21,1,1.33,268.3
41.64,21.0,66.4,express,19,5,1.23,1071.38
13.2,18.0,24.3,same_day,4,0,1.29,589.76
40.34,10.4,4.4,express,4,2,0.76,589.2
11.98,22.0,22.9,express,0,2,0.73,244.37
35.99,17.3,41.0,same_day,9,0,0.74,729.34
34.59,13.2,23.1,express,16,2,1.12,818.52
13.56,23.7,25.7,same_day,6,6,0.76,365.91
32.15,15.3,1.5,express,14,3,0.83,528.9
21.03,15.5,8.4,same_day,0,0,0.89,563.8
19.88,7.0,30.9,normal,5,1,1.05,336.62
2.61,21.0,23.9,same_day,20,4,1.13,286.09
21.75,11.0,33.6,express,23,4,0.51,248.12
13.0,13.0,73.1,same_day,12,3,1.12,560.16
20.19,2.9,62.2,express,6,6,0.93,420.87
42.69,3.1,15.4,same_day,21,6,0.78,785.25
23.95,2.0,67.6,normal,4,3,1.1,419.41
11.59,5.0,8.8,normal,12,2,0.85,176.1
34.94,22.2,72.3,express,22,5,0.6,480.69
38.61,21.2,11.6,normal,10,6,0.57,312.89
42.03,18.3,41.0,same_day,17,4,0.97,1044.4
21.41,18.5,5.9,normal,17,4,0.8,279.43
23.53,21.8,63.2,express,5,2,1.19,687.51
18.02,15.8,16.0,same_day,5,6,0.76,435.28
40.51,12.8,51.1,normal,15,0,0.52,294.47
4.68,7.6,62.0,express,16,2,1.12,228.82
3.07,17.2,52.8,same_day,22,2,1.08,273.79
43.43,12.5,49.3,normal,14,4,1.35,864.19
30.07,23.6,66.4,same_day,2,1,1.03,889.56
42.08,12.3,59.9,express,16,6,1.21,1029.06
8.11,23.2,39.4,normal,9,1,0.7,152.13
23.94,1.9,52.3,same_day,0,6,0.78,540.68
4.74,18.7,49.1,same_day,11,5,0.8,238.48
6.78,13.7,75.3,express,3,3,0.62,163.26
33.02,23.6,79.9,normal,19,4,1.38,748.43
32.17,7.2,39.0,express,11,3,1.34,868.34
2.27,18.6,10.4,express,9,0,1.09,177.61
44.76,13.7,78.4,express,12,3,0.56,527.47
39.86,3.3,43.8,same_day,3,1,1.13,1104.83
36.96,7.3,55.5,normal,9,1,0.88,456.1
38.33,5.9,3.7,same_day,0,3,1.39,1276.81
18.34,2.7,17.2,normal,17,2,1.36,388.56
12.65,21.1,68.6,express,2,1,0.66,260.84
27.96,24.0,13.1,same_day,12,6,1.07,821.25
31.6,17.1,30.5,express,8,5,0.76,508.57
6.01,16.5,20.4,express,4,2,1.43,332.91
17.57,8.0,65.7,normal,5,3,0.75,239.18
7.37,1.0,26.8,same_day,2,3,1.13,310.45
9.17,24.8,54.0,express,11,3,1.2,396.46
5.25,11.9,17.9,same_day,11,5,0.58,150.25
16.38,1.0,22.7,normal,10,3,1.42,383.73
28.16,22.3,2.8,normal,7,1,0.55,229.48
6.13,13.9,35.7,express,20,3,1.05,239.66
32.26,1.8,9.2,same_day,11,6,0.74,616.73
4.01,7.6,53.8,same_day,8,5,0.56,135.96
29.26,23.6,76.5,same_day,8,1,1.27,1167.53
39.41,24.5,76.9,normal,15,6,0.71,446.23
29.99,5.2,21.9,normal,7,1,0.5,223.05
6.64,22.9,59.1,normal,3,2,0.91,187.67
20.86,3.3,39.6,normal,8,4,0.69,234.45
6.15,22.5,52.2,express,9,4,0.91,238.23
24.83,3.4,66.8,express,2,4,1.0,557.83
33.67,12.8,7.7,express,17,5,0.95,671.08
35.0,5.9,47.0,normal,13,2,0.69,345.54
34.37,3.5,14.3,normal,16,2,1.21,586.89
21.12,20.0,10.4,normal,4,2,1.33,463.03
34.12,9.5,65.7,normal,1,4,0.82,435.6
27.36,19.2,60.1,express,23,2,1.02,609.79
14.81,19.1,30.6,express,13,6,0.68,276.27
1.06,20.0,46.2,normal,17,5,1.06,127.7
33.58,15.8,74.6,express,18,5,0.98,734.81
22.73,20.7,69.3,same_day,8,2,1.07,748.0
29.24,4.4,21.6,express,1,6,1.34,753.14
44.38,13.1,46.8,express,20,2,0.94,808.99
20.74,21.2,19.8,normal,13,0,0.76,254.81
10.87,2.7,53.3,normal,11,5,1.17,236.3
19.3,18.0,41.1,express,12,5,1.47,727.47
19.68,13.3,54.2,express,11,1,0.84,416.44
29.5,6.0,65.7,same_day,22,1,1.15,897.34
29.98,12.6,41.7,express,3,1,1.39,904.21
28.95,16.7,29.2,express,15,6,1.39,840.43
40.53,4.8,20.3,normal,5,5,1.43,819.98
11.32,8.0,25.2,same_day,5,5,0.95,358.45
9.95,17.3,39.4,normal,10,0,0.75,175.04
29.59,9.2,74.9,same_day,10,5,1.26,997.3
43.84,19.7,76.3,same_day,10,6,0.64,748.73
43.41,16.0,15.5,express,5,4,0.7,570.81
5.64,7.5,79.4,normal,16,6,0.78,128.03
7.54,23.0,67.1,same_day,10,3,0.5,197.08
28.47,2.6,41.8,same_day,10,2,0.9,650.85
5.95,10.2,78.4,express,16,4,1.3,342.51
8.92,2.2,17.5,normal,23,4,0.86,139.95
1.12,20.3,71.3,express,7,5,1.35,265.28
15.31,23.3,48.7,express,1,6,1.4,591.62
40.01,23.5,73.0,same_day,1,1,0.89,942.19
39.18,6.0,5.9,express,21,6,1.42,1084.75
29.66,15.0,35.6,same_day,20,2,1.1,874.51
23.3,15.0,19.2,express,7,6,0.75,374.91
